Project,Package,Smell,Description
java,com.group4.backend.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CampaignRequest]; [InfluencerProfileRequest]; [SignupRequest]; [PaymentResponse]; [TokenRequest]; [AuthResponse]; [RegisterResponse]; [LoginRequest]; [ResetPasswordRequest]; [SignupResponse]; [InfluencerProfileResponse]; [CampaignResponse]; [BrandProfileRequest]; [BrandProfileResponse]; [PaymentRequest]. LCC (Lack of Component Cohesion) = 1.0
java,com.group4.backend.repository,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PendingSignupRepository]; [CampaignRepository]; [InfluencerProfileRepository]; [BrandProfileRepository]; [UserRepository]; [PasswordResetTokenRepository]; [PaymentRepository]. LCC (Lack of Component Cohesion) = 1.0
java,com.group4.backend.controller,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BrandProfileController]; [InfluencerProfileController]; [SpaController]; [CampaignController]; [AuthController]; [PaymentController]. LCC (Lack of Component Cohesion) = 1.0
java,com.group4.backend.controller,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.group4.backend.model; com.group4.backend.service.
java,com.group4.backend.controller,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.group4.backend.service; com.group4.backend.dto.
java,com.group4.backend.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BudgetRange; BrandProfile; Campaign; CampaignStatus; CampaignGoal]; [PasswordResetToken; User; Role; PendingSignup]; [PaymentStatus; Payment]; [InfluencerProfile]. LCC (Lack of Component Cohesion) = 0.33
java,com.group4.backend.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SmtpEmailService; EmailService; ConsoleEmailService; AuthService]; [InfluencerProfileService]; [CampaignService]; [PaymentService]; [BrandProfileService]. LCC (Lack of Component Cohesion) = 0.63
java,com.group4.backend.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.group4.backend.model; com.group4.backend.repository; com.group4.backend.dto.
java,com.group4.backend.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.group4.backend.model; com.group4.backend.dto.
java,com.group4.backend.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.group4.backend.dto; com.group4.backend.repository.
java,com.group4.backend.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.group4.backend.model; com.group4.backend.repository.
