Project,Package,Class,Smell,Description,File
java,com.group4.backend.dto,InfluencerProfileRequest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/InfluencerProfileRequest.java
java,com.group4.backend.dto,PaymentResponse,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/PaymentResponse.java
java,com.group4.backend.dto,RegisterResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/RegisterResponse.java
java,com.group4.backend.dto,InfluencerProfileResponse,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/InfluencerProfileResponse.java
java,com.group4.backend.dto,CampaignResponse,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/CampaignResponse.java
java,com.group4.backend.dto,BrandProfileRequest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/BrandProfileRequest.java
java,com.group4.backend.dto,BrandProfileResponse,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/BrandProfileResponse.java
java,com.group4.backend.config,SpaWebConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/config/SpaWebConfig.java
java,com.group4.backend.config,ApplicationConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/config/ApplicationConfig.java
java,com.group4.backend.config,SecurityConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/config/SecurityConfig.java
