Project,Package,Class,Method,Smell,Description,Method start line no,File
java,com.group4.backend.config,SpaWebConfig,addResourceHandlers,Long Statement,The length of the statement "registry.addResourceHandler("/index.html"`"/*.js"`"/*.css"`"/*.ico"`"/*.png"`"/logo.png").addResourceLocations("classpath:/static/");" is 133.,21,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/config/SpaWebConfig.java
java,com.group4.backend.config,ApplicationConfig,userDetailsService,Long Statement,The length of the statement "return username -> userRepository.findByEmail(username).map(user -> org.springframework.security.core.userdetails.User.builder().username(user.getEmail()).password(user.getPassword()).roles(user.getRole().name()).build()).orElseThrow(() -> new UsernameNotFoundException("User not found"));" is 289.,25,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/config/ApplicationConfig.java
java,com.group4.backend.config,SecurityConfig,securityFilterChain,Long Statement,The length of the statement "http.securityMatcher("/api/**"`"/h2-console/**").csrf(csrf -> csrf.disable()).cors(cors -> cors.configurationSource(corsConfigurationSource())).authorizeHttpRequests(auth -> auth.requestMatchers("/api/auth/login"`"/api/auth/google"`"/api/auth/forgot-password"`"/api/auth/reset-password"`"/api/auth/register"`"/api/auth/confirm-email"`"/h2-console/**"`"/api/auth/**").permitAll().anyRequest().authenticated()).headers(headers -> headers.frameOptions(frame -> frame.disable())).sessionManagement(sess -> sess.sessionCreationPolicy(SessionCreationPolicy.STATELESS)).authenticationProvider(authenticationProvider).addFilterBefore(jwtAuthFilter`UsernamePasswordAuthenticationFilter.class);" is 684.,29,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/config/SecurityConfig.java
java,com.group4.backend.config,SecurityConfig,corsConfigurationSource,Long Statement,The length of the statement "configuration.setAllowedOrigins(List.of("http://localhost:5173"`"http://localhost:3000"`"http://localhost:5174"`"http://csci5308-vm2.research.cs.dal.ca:8073"`"http://csci5308-vm2.research.cs.dal.ca:8074"`"http://csci5308-vm5.research.cs.dal.ca:8073"`"http://localhost:8073"`"http://localhost:8074"));" is 300.,56,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/config/SecurityConfig.java
java,com.group4.backend.config,RelaxedMailConfig,javaMailSender,Magic Number,The method contains a magic number: 465,34,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/config/RelaxedMailConfig.java
java,com.group4.backend.security,JwtUtils,generateToken,Long Statement,The length of the statement "return Jwts.builder().setSubject(email).claim("role"`role).setIssuedAt(new Date(System.currentTimeMillis())).setExpiration(new Date(System.currentTimeMillis() + expirationTime)).signWith(getSignInKey()`SignatureAlgorithm.HS256).compact();" is 238.,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/security/JwtUtils.java
java,com.group4.backend.security,JwtUtils,generateToken,Magic Number,The method contains a magic number: 1000L,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/security/JwtUtils.java
java,com.group4.backend.security,JwtUtils,generateToken,Magic Number,The method contains a magic number: 60,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/security/JwtUtils.java
java,com.group4.backend.security,JwtUtils,generateToken,Magic Number,The method contains a magic number: 60,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/security/JwtUtils.java
java,com.group4.backend.security,JwtUtils,generateToken,Magic Number,The method contains a magic number: 24,20,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/security/JwtUtils.java
