Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
java,com.group4.backend.dto,CampaignRequest,CampaignRequest,2,1,0,29,0,,
java,com.group4.backend.dto,CampaignRequest,getName,3,1,0,32,0,,
java,com.group4.backend.dto,CampaignRequest,setName,3,1,1,33,0,,
java,com.group4.backend.dto,CampaignRequest,getDescription,3,1,0,35,0,,
java,com.group4.backend.dto,CampaignRequest,setDescription,3,1,1,36,0,,
java,com.group4.backend.dto,CampaignRequest,getBudgetRange,3,1,0,38,0,,
java,com.group4.backend.dto,CampaignRequest,setBudgetRange,3,1,1,39,0,,
java,com.group4.backend.dto,CampaignRequest,getCampaignGoal,3,1,0,41,0,,
java,com.group4.backend.dto,CampaignRequest,setCampaignGoal,3,1,1,42,0,,
java,com.group4.backend.dto,CampaignRequest,getPreferredContentTypes,3,1,0,44,0,,
java,com.group4.backend.dto,CampaignRequest,setPreferredContentTypes,3,1,1,45,0,,
java,com.group4.backend.dto,CampaignRequest,getStartDate,3,1,0,47,0,,
java,com.group4.backend.dto,CampaignRequest,setStartDate,3,1,1,48,0,,
java,com.group4.backend.dto,CampaignRequest,getEndDate,3,1,0,50,0,,
java,com.group4.backend.dto,CampaignRequest,setEndDate,3,1,1,51,0,,
java,com.group4.backend.dto,CampaignRequest,getNumberOfInfluencers,3,1,0,53,0,,
java,com.group4.backend.dto,CampaignRequest,setNumberOfInfluencers,3,1,1,54,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,InfluencerProfileRequest,2,1,0,48,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getName,3,1,0,51,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setName,3,1,1,52,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getAge,3,1,0,54,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setAge,3,1,1,55,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getLocation,3,1,0,57,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setLocation,3,1,1,58,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getNiche,3,1,0,60,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setNiche,3,1,1,61,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getBio,3,1,0,63,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setBio,3,1,1,64,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getProfilePictureUrl,3,1,0,66,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setProfilePictureUrl,3,1,1,67,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getInstagramHandle,3,1,0,69,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setInstagramHandle,3,1,1,70,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getYoutubeHandle,3,1,0,72,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setYoutubeHandle,3,1,1,73,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getTiktokHandle,3,1,0,75,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setTiktokHandle,3,1,1,76,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getRate,3,1,0,78,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setRate,3,1,1,79,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,getAudienceInfo,3,1,0,81,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setAudienceInfo,3,1,1,82,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,isSaveAsDraft,3,1,0,84,0,,
java,com.group4.backend.dto,InfluencerProfileRequest,setSaveAsDraft,3,1,1,85,0,,
java,com.group4.backend.dto,SignupRequest,SignupRequest,2,1,0,26,0,,
java,com.group4.backend.dto,SignupRequest,SignupRequest,5,1,3,29,0,,
java,com.group4.backend.dto,SignupRequest,getEmail,3,1,0,35,0,,
java,com.group4.backend.dto,SignupRequest,setEmail,3,1,1,39,0,,
java,com.group4.backend.dto,SignupRequest,getPassword,3,1,0,43,0,,
java,com.group4.backend.dto,SignupRequest,setPassword,3,1,1,47,0,,
java,com.group4.backend.dto,SignupRequest,getRole,3,1,0,51,0,,
java,com.group4.backend.dto,SignupRequest,setRole,3,1,1,55,0,,
java,com.group4.backend.dto,SignupRequest,isAllowedRole,3,1,1,59,0,,
java,com.group4.backend.dto,PaymentResponse,PaymentResponse,2,1,0,26,0,,
java,com.group4.backend.dto,PaymentResponse,getId,3,1,0,29,0,,
java,com.group4.backend.dto,PaymentResponse,setId,3,1,1,33,0,,
java,com.group4.backend.dto,PaymentResponse,getCampaignId,3,1,0,37,0,,
java,com.group4.backend.dto,PaymentResponse,setCampaignId,3,1,1,41,0,,
java,com.group4.backend.dto,PaymentResponse,getCampaignName,3,1,0,45,0,,
java,com.group4.backend.dto,PaymentResponse,setCampaignName,3,1,1,49,0,,
java,com.group4.backend.dto,PaymentResponse,getInfluencerId,3,1,0,53,0,,
java,com.group4.backend.dto,PaymentResponse,setInfluencerId,3,1,1,57,0,,
java,com.group4.backend.dto,PaymentResponse,getBrandId,3,1,0,61,0,,
java,com.group4.backend.dto,PaymentResponse,setBrandId,3,1,1,65,0,,
java,com.group4.backend.dto,PaymentResponse,getMilestoneName,3,1,0,69,0,,
java,com.group4.backend.dto,PaymentResponse,setMilestoneName,3,1,1,73,0,,
java,com.group4.backend.dto,PaymentResponse,getAmount,3,1,0,77,0,,
java,com.group4.backend.dto,PaymentResponse,setAmount,3,1,1,81,0,,
java,com.group4.backend.dto,PaymentResponse,getStatus,3,1,0,85,0,,
java,com.group4.backend.dto,PaymentResponse,setStatus,3,1,1,89,0,,
java,com.group4.backend.dto,PaymentResponse,getDueDate,3,1,0,93,0,,
java,com.group4.backend.dto,PaymentResponse,setDueDate,3,1,1,97,0,,
java,com.group4.backend.dto,PaymentResponse,getPaidDate,3,1,0,101,0,,
java,com.group4.backend.dto,PaymentResponse,setPaidDate,3,1,1,105,0,,
java,com.group4.backend.dto,PaymentResponse,getInvoiceNumber,3,1,0,109,0,,
java,com.group4.backend.dto,PaymentResponse,setInvoiceNumber,3,1,1,113,0,,
java,com.group4.backend.dto,PaymentResponse,getNotes,3,1,0,117,0,,
java,com.group4.backend.dto,PaymentResponse,setNotes,3,1,1,121,0,,
java,com.group4.backend.dto,PaymentResponse,getCreatedAt,3,1,0,125,0,,
java,com.group4.backend.dto,PaymentResponse,setCreatedAt,3,1,1,129,0,,
java,com.group4.backend.dto,PaymentResponse,getUpdatedAt,3,1,0,133,0,,
java,com.group4.backend.dto,PaymentResponse,setUpdatedAt,3,1,1,137,0,,
java,com.group4.backend.dto,TokenRequest,TokenRequest,2,1,0,6,0,,
java,com.group4.backend.dto,TokenRequest,TokenRequest,3,1,1,9,0,,
java,com.group4.backend.dto,TokenRequest,getToken,3,1,0,13,0,,
java,com.group4.backend.dto,TokenRequest,setToken,3,1,1,17,0,,
java,com.group4.backend.dto,AuthResponse,AuthResponse,2,1,0,11,0,,
java,com.group4.backend.dto,AuthResponse,AuthResponse,6,1,4,14,0,,
java,com.group4.backend.dto,AuthResponse,getToken,3,1,0,21,0,,
java,com.group4.backend.dto,AuthResponse,setToken,3,1,1,25,0,,
java,com.group4.backend.dto,AuthResponse,getEmail,3,1,0,29,0,,
java,com.group4.backend.dto,AuthResponse,setEmail,3,1,1,33,0,,
java,com.group4.backend.dto,AuthResponse,getRole,3,1,0,37,0,,
java,com.group4.backend.dto,AuthResponse,setRole,3,1,1,41,0,,
java,com.group4.backend.dto,AuthResponse,getId,3,1,0,45,0,,
java,com.group4.backend.dto,AuthResponse,setId,3,1,1,49,0,,
java,com.group4.backend.dto,RegisterResponse,RegisterResponse,2,1,0,12,0,,
java,com.group4.backend.dto,RegisterResponse,RegisterResponse,4,1,2,15,0,,
java,com.group4.backend.dto,RegisterResponse,getMessage,3,1,0,20,0,,
java,com.group4.backend.dto,RegisterResponse,setMessage,3,1,1,24,0,,
java,com.group4.backend.dto,RegisterResponse,getEmail,3,1,0,28,0,,
