Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
java,com.group4.backend.dto,CampaignRequest,8,0,17,17,60,17,0,0,0.5294117647058824,2,2,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/CampaignRequest.java,10
java,com.group4.backend.dto,InfluencerProfileRequest,12,0,25,25,88,25,0,0,0.52,2,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/InfluencerProfileRequest.java,7
java,com.group4.backend.dto,SignupRequest,4,0,9,9,34,9,0,0,0.2222222222222222,2,1,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/SignupRequest.java,7
java,com.group4.backend.dto,PaymentResponse,14,0,29,29,102,29,0,0,0.5172413793103449,2,1,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/PaymentResponse.java,9
java,com.group4.backend.dto,TokenRequest,1,0,4,4,14,4,0,0,0.5,1,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/TokenRequest.java,3
java,com.group4.backend.dto,AuthResponse,4,0,10,10,38,10,0,0,0.2,2,1,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/AuthResponse.java,5
java,com.group4.backend.dto,RegisterResponse,2,0,6,6,25,6,0,0,0.3333333333333333,0,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/RegisterResponse.java,3
java,com.group4.backend.dto,LoginRequest,3,0,8,8,29,8,0,0,0.375,2,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/LoginRequest.java,5
java,com.group4.backend.dto,ResetPasswordRequest,2,0,5,5,18,5,0,0,0.6,1,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/ResetPasswordRequest.java,5
java,com.group4.backend.dto,SignupResponse,1,0,4,4,17,4,0,0,0.5,2,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/SignupResponse.java,3
java,com.group4.backend.dto,InfluencerProfileResponse,16,0,33,33,116,33,0,0,0.5151515151515151,2,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/InfluencerProfileResponse.java,6
java,com.group4.backend.dto,CampaignResponse,13,0,27,27,95,27,0,0,0.5185185185185185,2,3,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/CampaignResponse.java,10
java,com.group4.backend.dto,BrandProfileRequest,10,0,21,21,74,21,0,0,0.5238095238095238,2,1,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/BrandProfileRequest.java,6
java,com.group4.backend.dto,BrandProfileResponse,14,0,29,29,102,29,0,0,0.5172413793103449,2,1,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/BrandProfileResponse.java,7
java,com.group4.backend.dto,PaymentRequest,6,0,13,13,46,13,0,0,0.5384615384615384,2,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/dto/PaymentRequest.java,10
java,com.group4.backend.repository,PendingSignupRepository,0,0,3,0,5,3,0,0,-1.0,1,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/repository/PendingSignupRepository.java,7
java,com.group4.backend.repository,CampaignRepository,0,0,1,0,3,1,0,0,-1.0,2,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/repository/CampaignRepository.java,8
java,com.group4.backend.repository,InfluencerProfileRepository,0,0,2,0,4,2,0,0,-1.0,1,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/repository/InfluencerProfileRepository.java,8
java,com.group4.backend.repository,BrandProfileRepository,0,0,2,0,4,2,0,0,-1.0,1,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/repository/BrandProfileRepository.java,8
java,com.group4.backend.repository,UserRepository,0,0,2,0,4,2,0,0,-1.0,10,0,/Users/mansimanojpatil/Desktop/Pretty/ATSD/group04/backend/src/main/java/com/group4/backend/repository/UserRepository.java,7
