Project,Package,Smell,Description
java,org.geysermc.mcprotocollib.network,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.network.event.server; org.geysermc.mcprotocollib.network.server; org.geysermc.mcprotocollib.protocol; org.geysermc.mcprotocollib.network.event.session; org.geysermc.mcprotocollib.network.packet; org.geysermc.mcprotocollib.network.netty
java,org.geysermc.mcprotocollib.network,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NetworkConstants]; [ServerSession; Session; Flag; BuiltinFlags; Server; ClientSession]; [Type]. LCC (Lack of Component Cohesion) = 0.38
java,org.geysermc.mcprotocollib.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network; org.geysermc.mcprotocollib.network.event.server; org.geysermc.mcprotocollib.network
java,org.geysermc.mcprotocollib.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network; org.geysermc.mcprotocollib.network.server; org.geysermc.mcprotocollib.network
java,org.geysermc.mcprotocollib.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network; org.geysermc.mcprotocollib.protocol; org.geysermc.mcprotocollib.network
java,org.geysermc.mcprotocollib.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network; org.geysermc.mcprotocollib.network.event.session; org.geysermc.mcprotocollib.network
java,org.geysermc.mcprotocollib.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network; org.geysermc.mcprotocollib.network.packet; org.geysermc.mcprotocollib.network
java,org.geysermc.mcprotocollib.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network; org.geysermc.mcprotocollib.network.netty; org.geysermc.mcprotocollib.network
java,org.geysermc.mcprotocollib.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network; org.geysermc.mcprotocollib.network.server; org.geysermc.mcprotocollib.network.helper; org.geysermc.mcprotocollib.network
java,org.geysermc.mcprotocollib.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network; org.geysermc.mcprotocollib.protocol; org.geysermc.mcprotocollib.protocol.data.status.handler; org.geysermc.mcprotocollib.network
java,org.geysermc.mcprotocollib.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network; org.geysermc.mcprotocollib.protocol; org.geysermc.mcprotocollib.protocol.packet.handshake.serverbound; org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.network.packet; org.geysermc.mcprotocollib.network
java,org.geysermc.mcprotocollib.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network; org.geysermc.mcprotocollib.protocol; org.geysermc.mcprotocollib.protocol.packet.common.serverbound; org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.network.packet; org.geysermc.mcprotocollib.network
java,org.geysermc.mcprotocollib.network.netty,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultPacketHandlerExecutor]; [AutoReadFlowControlHandler]; [FlushHandler; FlushHandler.FlushPacket]; [PacketCompressionCodec]; [PacketCodec]; [BundlerUnpackerDecoder]; [PacketSizerCodec]; [PacketEncryptorCodec]; [MinecraftChannelInitializer]. LCC (Lack of Component Cohesion) = 0.9
java,org.geysermc.mcprotocollib.network.netty,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.network.compression.
java,org.geysermc.mcprotocollib.network.packet,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.network.packet,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network.packet; org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.network.packet
java,org.geysermc.mcprotocollib.network.session,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.network.session; org.geysermc.mcprotocollib.protocol; org.geysermc.mcprotocollib.network.session
java,org.geysermc.mcprotocollib.protocol,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.network.session; org.geysermc.mcprotocollib.protocol.packet.common.serverbound
java,org.geysermc.mcprotocollib.protocol.codec,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.protocol.packet.configuration.serverbound; org.geysermc.mcprotocollib.protocol.packet.ingame.serverbound; org.geysermc.mcprotocollib.protocol.data.game.item.component; org.geysermc.mcprotocollib.protocol.data.game.level.particle; org.geysermc.mcprotocollib.protocol.data.game.level.event; org.geysermc.mcprotocollib.protocol.data.game.statistic; org.geysermc.mcprotocollib.protocol.data.game.recipe; org.geysermc.mcprotocollib.protocol.data.game.recipe.display; org.geysermc.mcprotocollib.protocol.data.game.chunk.palette; org.geysermc.mcprotocollib.protocol.data.game.chunk
java,org.geysermc.mcprotocollib.protocol.codec,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MinecraftCodec; PacketCodec; PacketCodec.Builder]; [MinecraftPacket]; [MinecraftTypes; NbtComponentSerializer; NbtComponentSerializer.NbtListBuilder]; [MinecraftPacketSerializer; PacketFactory; MinecraftPacketRegistry]; [NbtComponentSerializer.Pair]. LCC (Lack of Component Cohesion) = 0.45
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.packet.configuration.serverbound; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.packet.ingame.serverbound; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.item.component; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.entity.metadata; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.chat; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.level; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.chunk.palette; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.item; org.geysermc.mcprotocollib.protocol.data.game.item.component; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.entity.player; org.geysermc.mcprotocollib.protocol.data.game.entity.metadata; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.recipe; org.geysermc.mcprotocollib.protocol.data.game.item.component; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.chunk; org.geysermc.mcprotocollib.protocol.data.game.chunk.palette; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.level.particle; org.geysermc.mcprotocollib.protocol.data.game.item; org.geysermc.mcprotocollib.protocol.data.game.item.component; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.inventory; org.geysermc.mcprotocollib.protocol.data.game.item; org.geysermc.mcprotocollib.protocol.data.game.item.component; org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.data.game,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.data.game,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BossBarDivision]; [Holder]; [BossBarAction]; [WeightedList]; [UnlockRecipesAction]; [PlayerListEntryAction]; [BossBarColor]; [PlayerListEntry]; [ArgumentSignature]; [RegistryEntry]; [ServerLinkType]; [KnownPack]; [ClientCommand]; [ResourcePackStatus]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.data.game.chunk.palette,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ListPalette; Palette; GlobalPalette; MapPalette; SingletonPalette]; [PaletteType]. LCC (Lack of Component Cohesion) = 0.33
java,org.geysermc.mcprotocollib.protocol.data.game.chat,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.data.game.chat,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChatTypeDecoration]; [ChatTypeDecoration.Parameter]; [ChatCompletionAction]; [MessageSignature]; [BuiltinChatType]; [ChatFilterType]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.data.game.entity.metadata,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 40
java,org.geysermc.mcprotocollib.protocol.data.game.entity.metadata,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.data.game.entity.metadata,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FloatMetadataType; FloatMetadataType.FloatReader; FloatMetadataType.FloatWriter; FloatMetadataType.FloatEntityMetadataFactory; EntityMetadata; MetadataType; MetadataType.Reader; MetadataType.Writer; MetadataType.EntityMetadataFactory; BooleanMetadataType; BooleanMetadataType.BooleanReader; BooleanMetadataType.BooleanWriter; BooleanMetadataType.BooleanEntityMetadataFactory; OptionalIntMetadataType; OptionalIntMetadataType.OptionalIntReader; OptionalIntMetadataType.OptionalIntWriter; MetadataTypes; ByteMetadataType; ByteMetadataType.ByteReader; ByteMetadataType.ByteWriter; ByteMetadataType.ByteEntityMetadataFactory; IntMetadataType; IntMetadataType.IntReader; IntMetadataType.IntWriter; IntMetadataType.IntEntityMetadataFactory; LongMetadataType; LongMetadataType.LongReader; LongMetadataType.LongWriter; LongMetadataType.LongEntityMetadataFactory]; [Equipment]; [VillagerData]; [SnifferState]; [MetadataType.BasicReader]; [MetadataType.BasicWriter]; [HumanoidArm]; [WeatheringCopperState]; [Pose]; [CopperGolemState]; [ArmadilloState]; [GlobalPos]. LCC (Lack of Component Cohesion) = 0.3
java,org.geysermc.mcprotocollib.protocol.data.game.entity.metadata.type,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BooleanEntityMetadata]; [ObjectEntityMetadata]; [IntEntityMetadata]; [ByteEntityMetadata]; [LongEntityMetadata]; [FloatEntityMetadata]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.data.game.entity.player,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.auth; org.geysermc.mcprotocollib.protocol.data.game.entity.metadata
java,org.geysermc.mcprotocollib.protocol.data.game.entity.player,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InteractAction]; [PositionElement]; [Hand]; [PlayerAction]; [PlayerState]; [Animation]; [ResolvableProfile]; [HandPreference]; [BlockBreakStage]; [PlayerSpawnInfo; GameMode]. LCC (Lack of Component Cohesion) = 0.91
java,org.geysermc.mcprotocollib.protocol.data.game.recipe,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.protocol.data.game.item.component
java,org.geysermc.mcprotocollib.protocol.data.game.scoreboard,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CollisionRule]; [TeamAction]; [ObjectiveAction]; [ScoreType]; [ScoreboardPosition]; [TeamColor]; [NameTagVisibility]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.data.game.item.component,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 50
java,org.geysermc.mcprotocollib.protocol.data.game.item.component,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.entity.
java,org.geysermc.mcprotocollib.protocol.data.game.item,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.protocol.data.game.item.component
java,org.geysermc.mcprotocollib.protocol.data.game.inventory,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UpdateStructureBlockMode]; [UpdateStructureBlockAction]; [CreativeGrabAction; ContainerAction; SpreadItemAction; MoveToHotbarAction; ShiftClickItemAction; FillStackAction; ClickItemAction; DropItemAction]; [VillagerTrade]; [ContainerActionType]; [ContainerType]; [AdvancementTabAction]; [CraftingBookStateType]. LCC (Lack of Component Cohesion) = 0.53
java,org.geysermc.mcprotocollib.protocol.data.game.level.notify,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ThunderStrengthValue; GameEventValue; RespawnScreenValue; ElderGuardianEffectValue; RainStrengthValue; DemoMessageValue; LimitedCraftingValue; EnterCreditsValue]; [GameEvent]. LCC (Lack of Component Cohesion) = 0.22
java,org.geysermc.mcprotocollib.protocol.data.game.level,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.geysermc.mcprotocollib.protocol.codec
java,org.geysermc.mcprotocollib.protocol.data.game.level.block,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BlockEntityType; BlockEntityInfo]; [StructureMirror]; [StructureRotation]; [WobbleStyle]; [ExplosionInteraction]; [CommandBlockMode]; [BlockChangeEntry]. LCC (Lack of Component Cohesion) = 0.88
java,org.geysermc.mcprotocollib.protocol.packet.configuration.clientbound,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientboundShowDialogConfigurationPacket]; [ClientboundUpdateEnabledFeaturesPacket]; [ClientboundSelectKnownPacks]; [ClientboundCodeOfConductPacket]; [ClientboundResetChatPacket]; [ClientboundRegistryDataPacket]; [ClientboundFinishConfigurationPacket]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.packet.ingame.serverbound,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServerboundClientTickEndPacket]; [ServerboundConfigurationAcknowledgedPacket]; [ServerboundChatCommandSignedPacket]; [ServerboundPlayerLoadedPacket]; [ServerboundChatPacket]; [ServerboundChatCommandPacket]; [ServerboundChangeDifficultyPacket]; [ServerboundDebugSubscriptionRequestPacket]; [ServerboundCommandSuggestionPacket]; [ServerboundClientCommandPacket]; [ServerboundChatSessionUpdatePacket]; [ServerboundChatAckPacket]; [ServerboundLockDifficultyPacket]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.packet.ingame.serverbound.inventory,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServerboundSetStructureBlockPacket]; [ServerboundPickItemFromEntityPacket]; [ServerboundPickItemFromBlockPacket]; [ServerboundSetCreativeModeSlotPacket]; [ServerboundContainerClickPacket]; [ServerboundPlaceRecipePacket]; [ServerboundEditBookPacket]; [ServerboundRecipeBookSeenRecipePacket]; [ServerboundRenameItemPacket]; [ServerboundSelectBundleItemPacket]; [ServerboundSetBeaconPacket]; [ServerboundRecipeBookChangeSettingsPacket]; [ServerboundSetCommandBlockPacket]; [ServerboundSetJigsawBlockPacket]; [ServerboundSelectTradePacket]; [ServerboundSeenAdvancementsPacket]; [ServerboundContainerButtonClickPacket]; [ServerboundContainerClosePacket]; [ServerboundSetCommandMinecartPacket]; [ServerboundContainerSlotStateChangedPacket]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.packet.ingame.serverbound.inventory,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.geysermc.mcprotocollib.protocol.data.game.inventory; org.geysermc.mcprotocollib.protocol.codec.
java,org.geysermc.mcprotocollib.protocol.packet.ingame.serverbound.level,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServerboundPlayerInputPacket]; [ServerboundEntityTagQuery]; [ServerboundBlockEntityTagQueryPacket]; [ServerboundTeleportToEntityPacket]; [ServerboundJigsawGeneratePacket]; [ServerboundSignUpdatePacket]; [ServerboundTestInstanceBlockActionPacket]; [ServerboundSetTestBlockPacket]; [ServerboundAcceptTeleportationPacket]; [ServerboundMoveVehiclePacket]; [ServerboundPaddleBoatPacket]; [ServerboundChunkBatchReceivedPacket]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.packet.ingame.serverbound.player,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServerboundUseItemPacket]; [ServerboundPlayerAbilitiesPacket]; [ServerboundMovePlayerPosRotPacket]; [ServerboundMovePlayerPosPacket]; [ServerboundSwingPacket]; [ServerboundSetCarriedItemPacket]; [ServerboundInteractPacket]; [ServerboundPlayerActionPacket]; [ServerboundMovePlayerRotPacket]; [ServerboundChangeGameModePacket]; [ServerboundPlayerCommandPacket]; [ServerboundUseItemOnPacket]; [ServerboundMovePlayerStatusOnlyPacket]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.packet.ingame.serverbound.player,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.entity.player.
java,org.geysermc.mcprotocollib.protocol.packet.ingame.clientbound,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
java,org.geysermc.mcprotocollib.protocol.packet.ingame.clientbound,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientboundLoginPacket]; [ClientboundPlayerInfoRemovePacket]; [ClientboundBundlePacket]; [ClientboundShowDialogGamePacket]; [ClientboundSystemChatPacket]; [ClientboundUpdateRecipesPacket]; [ClientboundTickingStepPacket]; [ClientboundGameTestHighlightPosPacket]; [ClientboundPlayerChatPacket]; [ClientboundChangeDifficultyPacket]; [ClientboundServerDataPacket]; [ClientboundSelectAdvancementsTabPacket]; [ClientboundCommandSuggestionsPacket]; [ClientboundCommandsPacket]; [ClientboundDelimiterPacket]; [ClientboundRecipeBookSettingsPacket]; [ClientboundRecipeBookRemovePacket]; [ClientboundDeleteChatPacket]; [ClientboundTabListPacket]; [ClientboundUpdateAdvancementsPacket]; [ClientboundCooldownPacket]; [ClientboundBossEventPacket]; [ClientboundRecipeBookAddPacket]; [ClientboundDisguisedChatPacket]; [ClientboundCustomChatCompletionsPacket]; [ClientboundPlayerInfoUpdatePacket]; [ClientboundSetCameraPacket]; [ClientboundSoundEntityPacket]; [ClientboundStartConfigurationPacket]; [ClientboundStopSoundPacket]; [ClientboundRespawnPacket]; [ClientboundTickingStatePacket]; [ClientboundTestInstanceBlockStatus]; [ClientboundAwardStatsPacket]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.packet.ingame.clientbound,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.chat.
java,org.geysermc.mcprotocollib.protocol.packet.ingame.clientbound.entity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientboundUpdateAttributesPacket]; [ClientboundDamageEventPacket]; [ClientboundEntityPositionSyncPacket]; [ClientboundSetEntityDataPacket]; [ClientboundMoveEntityRotPacket]; [ClientboundSetEntityLinkPacket]; [ClientboundAnimatePacket]; [ClientboundRotateHeadPacket]; [ClientboundEntityEventPacket]; [ClientboundRemoveEntitiesPacket]; [ClientboundMoveVehiclePacket]; [ClientboundSetEquipmentPacket]; [ClientboundProjectilePowerPacket]; [ClientboundMoveEntityPosPacket]; [ClientboundRemoveMobEffectPacket]; [ClientboundAddEntityPacket]; [ClientboundMoveEntityPosRotPacket]; [ClientboundSetPassengersPacket]; [ClientboundUpdateMobEffectPacket]; [ClientboundMoveMinecartPacket]; [ClientboundTeleportEntityPacket]; [ClientboundSetEntityMotionPacket]; [ClientboundHurtAnimationPacket]; [ClientboundTakeItemEntityPacket]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.packet.ingame.clientbound.entity,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.entity.player.
java,org.geysermc.mcprotocollib.protocol.packet.ingame.clientbound.entity.player,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientboundPlayerCombatKillPacket]; [ClientboundSetHeldSlotPacket]; [ClientboundPlayerAbilitiesPacket]; [ClientboundPlayerRotationPacket]; [ClientboundPlayerLookAtPacket]; [ClientboundSetExperiencePacket]; [ClientboundBlockChangedAckPacket]; [ClientboundPlayerCombatEnterPacket]; [ClientboundSetHealthPacket]; [ClientboundPlayerCombatEndPacket]; [ClientboundPlayerPositionPacket]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.packet.ingame.clientbound.scoreboard,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.geysermc.mcprotocollib.protocol.codec; org.geysermc.mcprotocollib.protocol.data.game.scoreboard.
java,org.geysermc.mcprotocollib.protocol.packet.ingame.clientbound.inventory,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientboundMerchantOffersPacket]; [ClientboundContainerClosePacket]; [ClientboundMountScreenOpenPacket]; [ClientboundContainerSetDataPacket]; [ClientboundSetPlayerInventoryPacket]; [ClientboundPlaceGhostRecipePacket]; [ClientboundOpenScreenPacket]; [ClientboundSetCursorItemPacket]; [ClientboundContainerSetContentPacket]; [ClientboundContainerSetSlotPacket]; [ClientboundOpenBookPacket]. LCC (Lack of Component Cohesion) = 1.0
java,org.geysermc.mcprotocollib.protocol.packet.ingame.clientbound.level.border,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientboundSetBorderWarningDelayPacket]; [ClientboundSetBorderLerpSizePacket]; [ClientboundSetBorderWarningDistancePacket]; [ClientboundSetBorderCenterPacket]; [ClientboundInitializeBorderPacket]; [ClientboundSetBorderSizePacket]. LCC (Lack of Component Cohesion) = 1.0
