Project,Package,Class,Method,Smell,Description,Method start line no,File
java,org.geysermc.mcprotocollib.auth,SessionService,getServerId,Magic Number,The method contains a magic number: 16,32,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/SessionService.java
java,org.geysermc.mcprotocollib.auth,SessionService,getProfileByServer,Long Statement,The length of the statement "HasJoinedResponse response=HTTPUtils.makeRequest(this.getProxy()`URI.create(String.format(HAS_JOINED_ENDPOINT`URLEncoder.encode(name`StandardCharsets.UTF_8)`URLEncoder.encode(serverId`StandardCharsets.UTF_8)))`null`HasJoinedResponse.class);" is 240.,66,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/SessionService.java
java,org.geysermc.mcprotocollib.auth,SessionService,fillProfileProperties,Long Statement,The length of the statement "MinecraftProfileResponse response=HTTPUtils.makeRequest(this.getProxy()`URI.create(String.format(PROFILE_ENDPOINT`UUIDUtils.convertToNoDashes(profile.getId())))`null`MinecraftProfileResponse.class);" is 198.,89,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/SessionService.java
java,org.geysermc.mcprotocollib.auth,GameProfile,getTextures,Complex Conditional,The conditional expression this.textures == null || (requireSecure && !this.texturesVerified) is complex.,164,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/GameProfile.java
java,org.geysermc.mcprotocollib.auth,GameProfile,getTextures,Complex Method,Cyclomatic complexity of the method is 10,164,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/GameProfile.java
java,org.geysermc.mcprotocollib.auth,GameProfile,hashCode,Magic Number,The method contains a magic number: 31,253,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/GameProfile.java
java,org.geysermc.mcprotocollib.auth.util,UUIDUtils,convertToDashed,Magic Number,The method contains a magic number: 16,7,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/util/UUIDUtils.java
java,org.geysermc.mcprotocollib.auth.util,UUIDUtils,convertToDashed,Magic Number,The method contains a magic number: 16,7,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/util/UUIDUtils.java
java,org.geysermc.mcprotocollib.auth.util,UUIDUtils,convertToDashed,Magic Number,The method contains a magic number: 32,7,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/util/UUIDUtils.java
java,org.geysermc.mcprotocollib.auth.util,HTTPUtils,makeRequest,Long Statement,The length of the statement "HttpResponse response=createHttpClient(proxy).execute(input == null ? new HttpRequest("GET"`uri.toURL()) : new HttpContentRequest("POST"`uri.toURL()).setContent(HttpContent.string(GSON.toJson(input))).setHeader(HttpHeaders.CONTENT_TYPE`ContentTypes.APPLICATION_JSON.toString()));" is 279.,33,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/util/HTTPUtils.java
