Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
java,org.geysermc.mcprotocollib.auth,SessionService,getServerId,12,1,3,32,0,,
java,org.geysermc.mcprotocollib.auth,SessionService,joinServer,4,1,3,53,0,org.geysermc.mcprotocollib.auth.GameProfile,org.geysermc.mcprotocollib.auth.GameProfile
java,org.geysermc.mcprotocollib.auth,SessionService,getProfileByServer,11,2,2,66,0,org.geysermc.mcprotocollib.auth.GameProfile,org.geysermc.mcprotocollib.auth.GameProfile
java,org.geysermc.mcprotocollib.auth,SessionService,fillProfileProperties,10,3,1,89,0,org.geysermc.mcprotocollib.auth.GameProfile,org.geysermc.mcprotocollib.auth.GameProfile; org.geysermc.mcprotocollib.auth.util.UUIDUtils
java,org.geysermc.mcprotocollib.auth,SessionService,toString,3,1,0,108,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,loadSignatureKey,8,1,0,31,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,GameProfile,3,1,2,47,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,GameProfile,4,1,2,57,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,isComplete,3,1,0,68,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,getId,3,1,0,77,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,getIdAsString,3,1,0,86,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,getName,3,1,0,95,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,getProperties,6,2,0,104,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,setProperties,13,3,1,117,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,getProperty,8,3,1,138,0,org.geysermc.mcprotocollib.auth.GameProfile,org.geysermc.mcprotocollib.auth.GameProfile
java,org.geysermc.mcprotocollib.auth,GameProfile,getTextures,3,1,0,154,0,org.geysermc.mcprotocollib.auth.GameProfile,org.geysermc.mcprotocollib.auth.GameProfile
java,org.geysermc.mcprotocollib.auth,GameProfile,getTextures,42,10,1,164,0,org.geysermc.mcprotocollib.auth.GameProfile,org.geysermc.mcprotocollib.auth.GameProfile; org.geysermc.mcprotocollib.auth.util.TextureUrlChecker
java,org.geysermc.mcprotocollib.auth,GameProfile,getTexture,3,1,1,218,0,org.geysermc.mcprotocollib.auth.GameProfile,org.geysermc.mcprotocollib.auth.GameProfile
java,org.geysermc.mcprotocollib.auth,GameProfile,getTexture,3,1,2,229,0,org.geysermc.mcprotocollib.auth.GameProfile,org.geysermc.mcprotocollib.auth.GameProfile
java,org.geysermc.mcprotocollib.auth,GameProfile,equals,12,3,1,241,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,hashCode,5,1,0,253,0,,
java,org.geysermc.mcprotocollib.auth,GameProfile,toString,3,1,0,260,0,org.geysermc.mcprotocollib.auth.GameProfile,org.geysermc.mcprotocollib.auth.GameProfile
java,org.geysermc.mcprotocollib.auth.util,UUIDUtils,convertToDashed,6,2,1,7,0,,
java,org.geysermc.mcprotocollib.auth.util,UUIDUtils,convertToNoDashes,6,2,1,18,0,,
java,org.geysermc.mcprotocollib.auth.util,UndashedUUIDAdapter,write,3,1,2,14,0,org.geysermc.mcprotocollib.auth.util.UUIDUtils,org.geysermc.mcprotocollib.auth.util.UUIDUtils
java,org.geysermc.mcprotocollib.auth.util,UndashedUUIDAdapter,read,3,1,1,19,0,org.geysermc.mcprotocollib.auth.util.UUIDUtils,org.geysermc.mcprotocollib.auth.util.UUIDUtils
java,org.geysermc.mcprotocollib.auth.util,TextureUrlChecker,isAllowedTextureDomain,23,4,1,27,0,org.geysermc.mcprotocollib.auth.util.TextureUrlChecker,org.geysermc.mcprotocollib.auth.util.TextureUrlChecker
java,org.geysermc.mcprotocollib.auth.util,TextureUrlChecker,isDomainOnList,8,3,2,55,0,,
java,org.geysermc.mcprotocollib.auth.util,HTTPUtils,HTTPUtils,2,1,0,30,0,,
java,org.geysermc.mcprotocollib.auth.util,HTTPUtils,makeRequest,10,3,4,33,0,org.geysermc.mcprotocollib.auth.util.HTTPUtils,org.geysermc.mcprotocollib.auth.util.HTTPUtils
java,org.geysermc.mcprotocollib.auth.util,HTTPUtils,createHttpClient,13,5,1,51,0,,
java,org.geysermc.mcprotocollib.network,Flag,cast,3,1,1,10,0,,
java,org.geysermc.mcprotocollib.network,Flag,key,3,1,0,14,0,,
java,org.geysermc.mcprotocollib.network,BuiltinFlags,BuiltinFlags,2,1,0,57,0,,
java,org.geysermc.mcprotocollib.network,ClientSession,connect,3,1,0,9,0,org.geysermc.mcprotocollib.network.ClientSession,org.geysermc.mcprotocollib.network.ClientSession
java,org.geysermc.mcprotocollib.network,ClientSession,connect,0,1,1,16,0,,
java,org.geysermc.mcprotocollib.network,ClientSession,getProxy,0,1,0,23,0,,
java,org.geysermc.mcprotocollib.network,Server,getBindAddress,0,1,0,16,0,,
java,org.geysermc.mcprotocollib.network,Server,getPacketProtocol,0,1,0,23,0,,
java,org.geysermc.mcprotocollib.network,Server,isListening,0,1,0,30,0,,
java,org.geysermc.mcprotocollib.network,Server,getGlobalFlags,0,1,0,37,0,,
java,org.geysermc.mcprotocollib.network,Server,hasGlobalFlag,0,1,1,44,0,,
java,org.geysermc.mcprotocollib.network,Server,getGlobalFlag,3,1,1,52,0,org.geysermc.mcprotocollib.network.Server,org.geysermc.mcprotocollib.network.Server
java,org.geysermc.mcprotocollib.network,Server,getGlobalFlag,3,1,2,64,0,org.geysermc.mcprotocollib.network.Server,org.geysermc.mcprotocollib.network.Server
java,org.geysermc.mcprotocollib.network,Server,getGlobalFlagSupplied,0,1,2,71,0,,
java,org.geysermc.mcprotocollib.network,Server,setGlobalFlag,0,1,2,83,0,,
java,org.geysermc.mcprotocollib.network,Server,getListeners,0,1,0,93,0,,
java,org.geysermc.mcprotocollib.network,Server,addListener,0,1,1,100,0,,
java,org.geysermc.mcprotocollib.network,Server,removeListener,0,1,1,107,0,,
java,org.geysermc.mcprotocollib.network,Server,getSessions,0,1,0,114,0,,
java,org.geysermc.mcprotocollib.network,Server,bind,0,1,0,121,0,,
java,org.geysermc.mcprotocollib.network,Server,bind,0,1,1,128,0,,
java,org.geysermc.mcprotocollib.network,Server,bind,0,1,2,136,0,,
java,org.geysermc.mcprotocollib.network,Server,close,0,1,0,145,0,,
java,org.geysermc.mcprotocollib.network,Server,close,0,1,1,150,0,,
java,org.geysermc.mcprotocollib.network,Server,close,0,1,2,157,0,,
java,org.geysermc.mcprotocollib.network,Session,getLocalAddress,0,1,0,26,0,,
java,org.geysermc.mcprotocollib.network,Session,getRemoteAddress,0,1,0,33,0,,
java,org.geysermc.mcprotocollib.network,Session,getPacketProtocol,0,1,0,40,0,,
java,org.geysermc.mcprotocollib.network,Session,getFlags,0,1,0,47,0,,
java,org.geysermc.mcprotocollib.network,Session,hasFlag,0,1,1,55,0,,
java,org.geysermc.mcprotocollib.network,Session,getFlag,3,1,1,64,0,org.geysermc.mcprotocollib.network.Session,org.geysermc.mcprotocollib.network.Session
java,org.geysermc.mcprotocollib.network,Session,getFlag,3,1,2,78,0,org.geysermc.mcprotocollib.network.Session,org.geysermc.mcprotocollib.network.Session
java,org.geysermc.mcprotocollib.network,Session,getFlagSupplied,0,1,2,85,0,,
java,org.geysermc.mcprotocollib.network,Session,setFlag,0,1,2,98,0,,
java,org.geysermc.mcprotocollib.network,Session,setFlags,0,1,1,108,0,,
java,org.geysermc.mcprotocollib.network,Session,getListeners,0,1,0,115,0,,
java,org.geysermc.mcprotocollib.network,Session,addListener,0,1,1,122,0,,
java,org.geysermc.mcprotocollib.network,Session,removeListener,0,1,1,129,0,,
java,org.geysermc.mcprotocollib.network,Session,callEvent,0,1,1,136,0,,
java,org.geysermc.mcprotocollib.network,Session,callPacketReceived,0,1,1,143,0,,
java,org.geysermc.mcprotocollib.network,Session,callPacketSent,0,1,1,150,0,,
java,org.geysermc.mcprotocollib.network,Session,setCompression,0,1,1,157,0,,
java,org.geysermc.mcprotocollib.network,Session,setEncryption,0,1,1,165,0,,
java,org.geysermc.mcprotocollib.network,Session,isConnected,0,1,0,174,0,,
java,org.geysermc.mcprotocollib.network,Session,send,3,1,1,181,0,org.geysermc.mcprotocollib.network.Session,org.geysermc.mcprotocollib.network.Session
java,org.geysermc.mcprotocollib.network,Session,send,0,1,2,190,0,,
