Project,Package,Class,Smell,Description,File
java,org.geysermc.mcprotocollib.auth,SessionService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.geysermc.mcprotocollib.auth.GameProfile,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/SessionService.java
java,org.geysermc.mcprotocollib.auth,GameProfile.Property,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/GameProfile.java
java,org.geysermc.mcprotocollib.auth,GameProfile.Texture,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/auth/GameProfile.java
java,org.geysermc.mcprotocollib.network.netty,DefaultPacketHandlerExecutor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: USE_EVENT_LOOP_FOR_PACKETS (11),/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/DefaultPacketHandlerExecutor.java
java,org.geysermc.mcprotocollib.network.netty,FlushHandler.FlushPacket,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/FlushHandler.java
java,org.geysermc.mcprotocollib.network.netty,PacketCodec,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.geysermc.mcprotocollib.network.event.session.PacketErrorEvent,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/PacketCodec.java
java,org.geysermc.mcprotocollib.network.netty,PacketCodec,Law of Demeter violation,The tool detected the smell in this method (encode) because the method voilates the law of Demeter. The long chain of method invocations is : org.geysermc.mcprotocollib.network.packet.PacketHeader.writePacketId; org.geysermc.mcprotocollib.protocol.MinecraftProtocol.getPacketHeader,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/PacketCodec.java
java,org.geysermc.mcprotocollib.network.netty,PacketCodec,Law of Demeter violation,The tool detected the smell in this method (decode) because the method voilates the law of Demeter. The long chain of method invocations is : org.geysermc.mcprotocollib.network.packet.PacketHeader.readPacketId; org.geysermc.mcprotocollib.protocol.MinecraftProtocol.getPacketHeader,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/netty/PacketCodec.java
java,org.geysermc.mcprotocollib.network.helper,NettyHelper,Law of Demeter violation,The tool detected the smell in this method (resolveSrv) because the method voilates the law of Demeter. The long chain of method invocations is : org.geysermc.mcprotocollib.protocol.MinecraftProtocol.getSRVRecordPrefix; org.geysermc.mcprotocollib.network.Session.getPacketProtocol,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/helper/NettyHelper.java
java,org.geysermc.mcprotocollib.network.session,NetworkSession,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.geysermc.mcprotocollib.network.event.session.PacketSendingEvent,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/network/session/NetworkSession.java
java,org.geysermc.mcprotocollib.protocol,ClientListener,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.geysermc.mcprotocollib.network.session.ClientNetworkSession; org.geysermc.mcprotocollib.auth.SessionService,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/ClientListener.java
java,org.geysermc.mcprotocollib.protocol,ClientListener,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/ClientListener.java
java,org.geysermc.mcprotocollib.protocol,ServerListener,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.geysermc.mcprotocollib.auth.SessionService,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/ServerListener.java
java,org.geysermc.mcprotocollib.protocol,ServerListener,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/ServerListener.java
java,org.geysermc.mcprotocollib.protocol,MinecraftProtocol,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/MinecraftProtocol.java
java,org.geysermc.mcprotocollib.protocol.codec,MinecraftTypes,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.geysermc.mcprotocollib.protocol.data.game.debug.DebugInfo; org.geysermc.mcprotocollib.protocol.data.game.recipe.display.slot.SlotDisplay; org.geysermc.mcprotocollib.protocol.data.game.recipe.display.RecipeDisplay; org.geysermc.mcprotocollib.auth.GameProfile,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/codec/MinecraftTypes.java
java,org.geysermc.mcprotocollib.protocol.codec,MinecraftTypes,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 69,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/codec/MinecraftTypes.java
java,org.geysermc.mcprotocollib.protocol.codec,PacketCodec.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/codec/PacketCodec.java
java,org.geysermc.mcprotocollib.protocol.codec,MinecraftPacketRegistry,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.geysermc.mcprotocollib.network.packet.PacketRegistry,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/codec/MinecraftPacketRegistry.java
java,org.geysermc.mcprotocollib.protocol.data.game.chunk,DataPalette,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.geysermc.mcprotocollib.protocol.data.game.chunk.BitStorage,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/data/game/chunk/DataPalette.java
java,org.geysermc.mcprotocollib.protocol.data.game.entity.metadata,OptionalIntMetadataType.OptionalIntReader,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/data/game/entity/metadata/OptionalIntMetadataType.java
java,org.geysermc.mcprotocollib.protocol.data.game.entity.metadata,OptionalIntMetadataType.OptionalIntWriter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/data/game/entity/metadata/OptionalIntMetadataType.java
java,org.geysermc.mcprotocollib.protocol.data.game.entity.metadata,MetadataTypes,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/data/game/entity/metadata/MetadataTypes.java
java,org.geysermc.mcprotocollib.protocol.data.game.item.component,ToolData.Rule,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/data/game/item/component/ToolData.java
java,org.geysermc.mcprotocollib.protocol.data.game.item.component,ItemAttributeModifiers.Entry,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/mansimanojpatil/Desktop/Pretty/ATSD/MCProtocolLib/protocol/src/main/java/org/geysermc/mcprotocollib/protocol/data/game/item/component/ItemAttributeModifiers.java
